Probe.ID,Up.depth,Texture,Tex.meas,Bulk.den,Bulk.meas
52,25,Loamy sand,Yes,1.59,No
52,50,Loamy sand,No,1.65,No
52,75,Sandy clay loam,No,1.78,No
52,100,Sandy clay loam,No,1.74,No
52,125,Loamy sand,Yes,1.52,No
52,150,Loamy sand,Yes,1.82,No
52,200,Sandy clay loam,Yes,1.74,No
52,250,Sandy clay loam,Yes,1.73,No
52,300,Sandy clay loam,Yes,1.63,No
52,350,Clay,Yes,1.65,No
52,400,Clay,Yes,1.57,No
52,450,Clay,Yes,1.61,No
61,0,Sandy clay loam,Yes,1.27,No
61,25,Sandy loam,Yes,1.55,No
61,50,Loamy sand,No,1.75,No
61,75,Sandy clay loam,No,1.78,No
61,100,Sandy loam,Yes,1.81,No
61,125,Clay loam,Yes,1.76,No
61,150,Clay loam,Yes,1.79,No
61,200,Sandy clay loam,Yes,1.82,No
61,250,Sandy clay loam,Yes,1.78,No
61,300,Sandy clay loam,Yes,1.77,No
61,350,Clay,No,1.75,No
61,400,Sandy clay,Yes,1.57,No
61,450,Clay,Yes,1.66,No
62,0,Sandy clay loam,Yes,1.27,No
62,25,Sandy loam,Yes,1.55,No
62,50,Loamy sand,No,1.75,No
62,75,Sandy clay loam,No,1.78,No
62,100,Sandy loam,Yes,1.81,No
62,125,Clay loam,Yes,1.76,No
62,150,Clay loam,Yes,1.79,No
62,200,Sandy clay loam,Yes,1.82,No
62,250,Sandy clay loam,Yes,1.78,No
62,300,Sandy clay loam,Yes,1.77,No
62,350,Clay,No,1.75,No
62,400,Sandy clay,Yes,1.57,No
62,450,Clay,Yes,1.66,No
